,content,label
86,"Cũng ko ngạc nhiên jì lắm, gần hết 2020 xăng xái cho đạt yêu cầu quan thầy ấy mà, riêng cái điều này coi bộ khó đạt í,có thằng chó nào ra đường nói tiếng tàu với đồng bào,đồng nghiệp,bạn bè bằng tiếng tàu ko,lúc đó nó cho vào bệnh viện tâm thần thì bỏ mẹ,hay về nhà hôn vợ,nựng con nó có nói tiếng tàu được vợ con nó chắc ngạc nhiên lắm vì nghĩ nó bị khùng,hahaha",1
87,Chúng mày làm gì có văn hóa mà lập ra bộ văn hóa,1
88,Nguyễn Công Viễn cẩn thận nha,0
89,"Uầy, được anh ơi. Cứ như ngồi cạnh thằng Tùng ấy nhờ. K có đcm luôn. Nghe cứ điếm vãi cả nồi ấy.",1
90,"T muốn coi qá, nhưng sợ nên ngỉ phẻ. Đỡ tốn tiền 🤣",0
91,:(,0
92,Like vì cùng suy nghi😁,0
93,"Bắn bỏ hết mẹ lũ tham quan đi, lũ chó",1
94,t cừi 2 tiếng rồi và vẫn chưa có dấu hiệu dừng lại,0
95,Tự hào quá VN ơi 😂,0
96,Ý nghĩa,0
97,Vũ Hạnh Dương cô mình hơi nóng hia hiaaaa😂,0
98,Idol,0
99,Idol lạc qua đây luôn😂😂,0
100,con nay mat dai,1
101,"Phạm Tuong không có cái gì cũng tự dưng lôi anh tao vào , cái thứ dòng đỗn lì , không khịa anh tao thì m bị ngứa tay à 🙃",1
102,<3 <3 <3 Từ hôm nay Việt Nam đã có Pikachu Go để chơi rồi nhé ^^,0
103,Trung cộng phát hiện có cả virus trong nước tiểu nhé.,1
104,dnn thay ba nhieu hok tro` tot vc :L)),1
105,Chàng trai vs điệu múa bê bết,0
106,Còn tốt lắm 👏 😂,0
107,chuẩn là ngon ngọt nước luôn,0
108,Ai yêu ib nhé,0
109,Chắc panda vui 🙃,0
110,Nắm tay nhau thật chặt. Giữ Tay nhau thật sâu. Cho chắc ăn. Dân sẽ mừng. Cũng như Mỹ xấu ăn thịt người. Mà Vc pháo kích thì cứ chạy tới Mỹ và Ngụy để được giúp chữa bệnh. Làng Mỹ Lai.,1
111,"Thần quyền Ếch vồ hoa mướp! Thở quá rồi, huyết áp 300 rồi!🤣🤣🤣",0
112,Du me may,1
113,Chửi cũng nể nang chứ. Đkm tao báo công an bắt chết cụ mày. Phạt mày 5 tr bây giờ. 😂😂😂😂😂😂,1
114,Này mà lúc buồn xúm lại nghe cô nói chuyện chắc cười chết luôn á🤣,0
115,Bai vo nay Bac Ho ma con song bung tay 1 cai la ong toi.can gi phai sung voi dao.dung la ba que ba xao...,1
116,Nguyễn Nam khựa story,1
117,Lê Thư bớt ngu,1
118,Ninh Trần đi đâu cx gặp idol 🙂,0
119,Cái mỏ con linh cá lóc ni giống như cái đít vịt,1
120,Tao mà bắt gặp thg nào là tao bêu rếu nó từ đầu trên xuống dưới từ bên này qua bên kia đm cho nó đội quần nó nghỉ làm mẹ luôn dùm tao,1
121,Phạm văn rạng từng bắt dính 3 quả của pele và vô địch sea game lần 1,0
122,Ok chấp,0
123,Mai Anh Tuân Mua được mấy cái siêu xe cho các con du học bên bển rồi :v,0
124,Co con cac,1
125,Nguyễn Đức Ánh lại thêm thằng ngu thíc sủa bậy..,1
126,Hủy cái dmm :v,1
127,nhà tiên tri đã làm bao nhiêu diễn viên mất việc,0
128,"Hởi toàn thể 90 trịu dân VN chúng ta hãy truy tìm kẻ khốn nạn này. Đây là tiền thúê của chúg ta góp vào phục vụ đất nước, sao chúng trộm làm của riêng? Đậu móa anh chịu hết nổi rồi",1
129,Tổ sử mấy thằng này chỉ bênh vực nhau. Thế nào là gạt tay?? Lỡ như thằng nhà báo nó đấm vỡ mõm thằng CA xong nó bảo chỉ là gạt tay thì có xử thằng nhà báo ko?? Toàn làm trò hề thôi bọn CA chó này!!,1
130,À thì ra vì muốn ăn 150 tĩ nên bán cái lương tâm vốn đã rách rưới để chê khoa học gia Nhật !,1
131,lương lẹo là nghề của búa liềm,1
132,Sela tuổi gì với abe :))),1
133,Được anh ưii,0
134,em cũng không biết nứa -_-,0
135,Ý là tháng kiếm 7-8tr chỉ để cho con ăn tôm hùm và cua hoàng đế thôi. Còn số tiền còn lại không kể hết =)),0
136,địt mẹ chúng mày cmt lịch sự chút đi..😁😁,1
137,@Anh Nguyen Tuan  biến con mẹ mày,1
138,Đàn bà j nhìn mặt giống dân ông xấu thấy mô,1
139,Được quá nhỡ 😷,0
140,"Xl la xong sao , de nghi gia dinh xum lai nho nuoc bot uot het nguoi no moi chiu",1
141,"Hồi đi học thì được biết mấy chữ như tự mãn, tự cao tự đại, tự kiêu.. sau 75 thì chữ tự hào được xài hơi nhiều... từ lúc có điện thoại thông minh thì xuất hiện chữ tự sướng.. bi giờ DLV và AK 47 làm giàu cho ngữ vựng VN chữ tự nhục. Định xin phép các anh chị trong ảnh tự nhục kia cho tui .. tự ké được hong?🧐",1
142,Tóc như kia chỉ có chị Trang đổ thôi chứ ai đổ nổi 😂,0
143,Sao lớn rồi cũng có tuổi rồi mà sao ăn nói thiếu văn hóa quá 😒,0
144,"đm , đúng là mặc đồ như cái quanque thiệttt 🤦🏻‍♀️",1
145,Bài hát dành cho Khắc ... À mà thôi :)),0
146,Anh 3 oi.anh lam gi co LON ma chui.hahaha,1
147,Hahahahahahaaaa,0
148,Người ta bị liệu bạn ơi,0
149,Giết nó,1
150,Lê Thế Hào cc dell bk cailoz j ve nghe thuat im,1
151,Giống thực sự,0
152,Mà thật sự chị Trần Đoàn bán hàng trên mạng từ lâu rồi đó.,0
153,Nay toàn lấy cơ chơi lễ trung thu để đi địt nhau thôi anh ạ :))),1
154,Nghe bà này nói chuyện ốc ác noi da gà hết sao ma ác khẩu vậy mà nói tâm tốt sau này cái miệng bà này o có voi nam một cho  roi đó hết la làng tôi kieu an bà này sẽ co,1
155,Chứ tưởng đổi giáo an TF 0156,0
156,Dm quảng cáo :)),1
157,sủa sủa sủa 🐕,1
158,Anh em mau nhường giải cho Sela trả nợ nào,0
159,Đợi thầy mãi :(,0
160,3k và 38 người. Con số đã nói lên tất cả. Tỉ lệ này là 99% Không đồng ý và chỉ có 1% đồng ý. haha Đâu bao giờ dám trưng cầu dân ý.,1
161,Nhìn khó chịu vch.,1
162,ok a ưi,0
163,Chiuuuuu :v,0
164,Ai là người buồn vậy????,0
165,Ông Trần Dần tiên đoán khi nào VN sang giải phóng Bắc Kinh?,0
166,Hép pi niu yeahhh,0
167,Đúng r bạn,0
168,Giàu mà ăn mặc lạ lùng ghê k bằng ăn mặc quê mùa như mình :)),1
169,"Ko đâu ad , chúng nó ngu đó , Cẩu Quan thua mưu Trung Chó nên cớ sự mới ra9 như vậy !",1
170,"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",1
171,Cho phép cái đéo gì mà cá sống ở tầng nước SÂU cũng chết . Đm,1
172,Thay ngáo đá,1
173,Chúng nó cấu kết với nhau để khép tội cho HDHải bằng mọi thủ đoạn ! Bọn chó đấy còn dã man tàn nhẫn như thằng hung thủ kia và vẫn đang nhởn nhơ ngoài vòng pháp luật ! Đáng sợ,1
174,đi phố bô sa tìm danh hài hải ngoại chưa thầy,0
175,D m thắm ơi cho em vào lại không sợ chó Đi em sai rồi. Hôm sau em k giám chúc mừng năm mới nữa huhu,1
176,Hay qua chi MINH HIEU oi!!!! E ung ho Chi!!!,0
177,Em rất thích chi,0
178,Ok anh như 2 giọt nước 😍,0
179,Thân Hoài Thương ?? Hay thì like đéo hay chả nhẽ k đc dlike? Lạ lồn thế? Sinh ra nút dlike làm cc gì? Hát như cc thì chả dlike,1
180,Uk công nhận k hay lắm,0
181,Trần Linh đau đầu thực sự 😂,0
182,Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài...,1
183,Châu Hạ Nghi cđ nhâyy,1
184,"trong đó có bọn comdom gì gì ấy cũng y như vậy, lũ sống bằng tiền lao động của dân mà cứ nghĩ chúng nó là thánh không bằng",1
185,Anh trung bú đá,1
186,Tuổi lồn sánh vai,1
187,Mai anh Độ bắt đầu live thì cả bộ tộc chào cờ rồi hát tộc ca :v,0
188,Dũng Trần người việt sang Mỹ :( xong bay dìa cái thành người thứ 34 :(,0
189,Manh thi song yeu thi chet,1
190,Có 5 thằng like. Có nghĩa bên cạnh thằng óc chó có thêm 5 thằng óc như chó :)),1
191,Cao Lãnh với chúng tôi làyy,0
192,chuyện ở hong kong là một giấc mơ của thiểu số người Việt mà thôi ! .... trưa đọc tí truyện hài cho vui nhà ad ơi,0
193,Nào chưa có vợ thì sao dỗi vl,1
194,lương sắp tới cũng là lương sắp đi :),0
195,"Những thằng nói đạo lí,thường sống như L^**",1
196,oki =))),0
197,Thằng xamlol. M k dùng hay dùng thì t care à,1
198,Non quá thầy ơi,1
199,Sao chi noi tieng de thuong qua chi oi.nam nay chi bao nhieu tuoi roi chi .dep gai qua chi oi,0
200,Phụ nữ vn làm gi có ai xấu tai xấu hại vậy xấu hết phần chó,1
201,Ở với + sản..bạn đấu tranh họ cho bạn là phản động...khi + sản sai...nó sẽ rút kinh nghiệm..đậu xanh rau muống..,1
202,"Đất nước hạnh phúc nhất thế giới là người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại đất nước này . Muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi , cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh , bởi rượu vào lời ra thì mạnh ai người ấy nói kk",1
203,"Ở Mỹ cầm bảng ""Trump is Putin's puppet"" chẳng sao nhỉ. Ở VN mà cầm bảng ""Lú là con rối của Tập"", sẽ bị tống vô tù vì tội .... tiết lộ bí mật quốc gia haha :))",1
204,Cái chế độ vc này bàn tay nhuốm máu không biết bao nhiêu người tù vụ cải cách ruộng đất cả trăm ngàn người chết đến vụ học tập cải tạo thêm cả trăm ngàn người chết!,1
205,Là chính e.... ai mà có phi cơ riêng ... thần tượng của Kim Đan Cương,0
206,Giờ ko đánh cũng đã khai chính cờ đỏ sao vàng là bọn khủng bố.cần phải dẹp ngay bọn khủng bố cờ đỏ sao vàng này ra khỏi xã hội Việt Nam và cả nhân loại của thế giới 😉,1
207,Thương con chó  mà  phải  mang cái  mặt  của mày  quá,1
208,Trần Thanh Hà ai đấy 😂,0
209,Bạn bè bên dai loan và bên nước Việt Nam mình kg tha thứ cho no cho nó một bài học cho nó biết thế nào la suc Phạm dân tộc Việt Nam  kg cho nó bài hoc nó kg sợ dau an nói tuc tĩu mất dạy quá,1
210,Du học Úc à nghen 😇,0
211,Xin link dạo hả abe,0
212,"Và họ kêu ngày ấy là ""giải phóng"" miền nam 🤣",1
213,Thích nhất đoạn 31:00😂😂😂😂,0
214,Hợp lý quá ah êu😑,0
215,Lý do 1 đứa con gái chấp nhận yêu xa là thằng kia nó giàu vailou. Hết.....!!!!,1
216,DLV dân lưu vong đâu?,1
217,Ước gì Thu Giangg add friend iloveu dấu bé ba :3333,0
218,Lại cà khịa,0
219,Trần Dần em yêu anh,0
220,BÀ THÁI ANH VĂN RẤT GIẢN DỊ VÀ GẦN GŨI VỚI DÂN _ NHƯNG RẤT KIÊN TRUNG _KIÊN CƯỜNG TRƯỚC KẺ THÙ _ BÀ LÀ TẤM GƯƠNG SÁNG CHO RẤT NHIỀU ĐỨA HÈN VỚI GIẶC ÁC VỚI DÂN THAM HƠN SÚC VẬT SOI VÀO ĐỂ THAY TÂM ĐỔI TÍNH,1
221,@• Amber • làm thơ thì phải có vần. Còn không có vần thì thôi cũng được =)),0
222,dr a oi,0
223,Rất tiếc ông chọn nhầm cái đãn chó chết để phục vụ,1
224,"Cứ dm nghĩ mình là công chúa các thứ các thứ, đéo hiểu kiểu gì =)))",1
225,tổ lái,0
226,Hóng top 1 thịnh hành ><,0
227,Mấy thằng báo đời này sao không ai chế tài🤔,1
228,Đĩa bay phải khog mọi người,0
229,Thằng này nguồn gốc là công an cộng sản thì bản chất đểu cáng trơ trẽn là đúng rồi.,1
230,Thinh Hoang may là izakaya ở nhật chứ ở houston chết mẹ t:)),1
231,Nguyễn Nhật Long vl nắc,1
232,nhìn như ghép :)),0
233,Chào cả nhà,0
234,"Đồng chí nào có lòng tốt ra rước bác về dùm , để đấy mấy con chó nó đái lên thì khổ thân bác tui quá",1
235,ko biet chính quyền đang làm cái j như vụ một thanh niên (thôi) xông vào ngân hàng cướp thì có tới trăm cảnh sát bao vây chi v troi ô nao cug muốn ở phưởng cơ quan có ô nào muốn lò mặt ra ngoài để điều tra đâu mà có chắc cug phải cả tháng cả năm cảm thấy xấu hổ vs nhung khách du lịch tới Việt Nam mình,1
236,Vương Hoàng Thái,0
237,hình như thằng này là thằng muốn ăn gỏi MC Phan Anh đây mà :3,1
238,Vào mà la liếm đi mấy chú dlv,1
239,Ngon...,0
240,Tiên tri vũ trụ hay là người ngoài hành tinh,0
241,Lừa minh hiếu còn sủa,1
242,3 que có cờ ko?->,1
243,Nói nhưng họ đâu có thích mình,0
244,Hữu Nguyễn căn cứ vào hàng cmt luôn,0
245,lại đêu,0
246,đẳng cấp anh ơi,0
247,Đồng cảm xúc :)) nghe không hay như mấy bài trước :)),0
248,Idol giữ gìn sức khỏe cẩn thận nhé không ai tấu hài cho em coi,0
249,Vn bjo toàn thằng bệnh nhỉ,1
250,Bê lol chạy là có thật,1
251,Đình Quang ụa đâu có giải gì bên vn đau ta,0
252,Đây là câu chuyện buồn mà🙁,0
253,"Ăn thua gì, ăn mừng đón con khỉ nói tiếng Hoa cũng chết vài triệu mạng rồi.",1
254,Kênh của aba là kênh kĩ năng nghe chưa =)),0
255,Nguyễn Bảo Chấn clm,1
256,Lão Tập qua đây chả ai quan tâm. Dân còn biểu tình phản đối,1
257,Khịa nhau cái lồn.Bố mày còn đéo có yz700 fake mà đeo đây! :)))) Có giày đeo là ngon rồi đm,1
258,Tưởng k có tuổi vs vong ba gà,1
259,Ở đây ai là chủ ???,0
260,Chiều pick susan nha thầy <3,0
261,trơ trẽn vkl 💩,1
262,Tưởng Nhật Bản văn minh thế nào,0
263,Chắc hít dạ hương xong lú cmnr,1
264,quản lý fanpage có đc coi là fan cứng ko anh ui :v,0
265,Phắc ộp! Dmca,1
266,Diện Trần khó thương nhiều vào để đất nước nó lớn mạnh trở lại rồi lại đi cướp nước ngủ còn sủa,1
267,Đijt mẹ thằng ad phản động tuyên truyền vớ vẩn,1
268,Không bẩn thỉu không phải cộng sản mà.,1
269,Thôi xong này khỏi đi học,0
270,nghệ sĩ nhân dân hài liên minh,0
271,Lấy tiền miền nam đi nuôi một lũ con cháu trung quốc,1
272,Covid-19 là cái gương chiếu yêu hay gì á :))) biết bao nhiêu bộ mặt ngu dốt lòi ra,1
273,"Lũ chó , bán nước hại dân",1
274,Cả nước đồng lòng riêng em thi ko,0
275,Nhìn quả đầu của cháu tùng em lại nghĩ đến Đấng Dì giây Chip 🤣,0
276,hay quá thầy ơi thả tim,0
277,lời nói đâu mất tiền mua  sau bà ăn nói ko có văn hóa dzay,1
278,B52 If J97,0
279,Hồ Khang đmm. Ý kiến của m như l ý.,1
280,Quá duyên luôn cô ơi 😍😍,0
281,"Ngô thanh Vân coi đi có nhục quốc thể không . Gọi fan vô chửi như là chửi cái đứa ca sĩ nước Mỹ mặc áo dài không quần ý , rồi dạy cho cựu VDV nay vô gu ghồ tìm hiểu xem mảnh vải đỏ có hình sao vàng là cờ của nước nào.",1
282,có ai biết best nhạc này không ạ cho em xin :)),0
283,ngủ đi,0
284,Nhanh thực sự,0
285,Tất diên và tất diên.,0
286,Hầu như các ca nhiễm bệnh toàn đi từ nước ngoài về nhỉ ??? Lúc mọi người về có nghĩ đến an toàn của bản thân cũng như mọi người ko nhỉ?? Hay não bị vi rút ăn hết cmnr,1
287,Ok đẹp trai :v,0
288,Còn đó bị bệnh ngu,1
289,Cái này reset tiền thưởng 😂,0
290,"phụ huynh lúc cho con học, chắc giờ đổi ý đi mua mì với gạo r.",0
291,Rẫy là cái đ' gì vậy?,1
292,Chị ba còn trinh có cây đinh chính giữa,1
293,Má nó dơ vler 🤣🤣🤣,1
294,Con me nay an noi lao phét mai mọt bi qua bao nang ne,1
295,Bê đê sống thật đi chị 3D,0
296,Óc chó mà cũng học chửi! Trung quoc giúp cam bố mày àh!,1
297,Đang ăn cơm còn ăn bim bim ? Thế thì ăn cơm làm sao đc :<,0
298,"Bác sĩ trẻ ,đẹp trai ghê ! Ngồi bên cạnh chị gái rất là xinh đẹp ""Minh Hiếu """,0
299,Chuyện người ta làm chúng bây ở đây làm thầy bói. Rảnh háng thật,1
300,Vâng anh ấy thật là tuổi trê tài cao,0
301,Pr vc tộc trưởng ạ,1
302,Bà ao hồng này cũng rảnh,0
303,tôi biết đchi nhé các b haha 🌈🌈🌈,0
304,Trend này tui theo lâu rồi,0
305,Người ta gọi là đú mà.,1
306,Khi bạn muốn bợ đít ai đó nhưng bạn không có não. Ngu như lợn nhưng vẫn làm báo Đảng đĩ.,1
307,Nhìn mặt tộc trưởng là đang tính toán gì đó,0
308,Vui lo`ng Tien Tri Khi na`o ong  Tran Da`n chet ?,1
309,Nghèo bày dạt nỏ.bién di me oi,1
310,Yêu thầy thầy ba tốc độ :)),0
311,Unlike page,0
312,Tình yêu vĩnh cửu đấy :)),0
313,Phan Thị Huyền Trang dép mua đâu zạ bạnnnnnnn,0
314,Cay quá b52 ơi,0
315,Thầy 20-10 vui vẻ,0
316,Chương trình ln gì vậy ? :D :))),1
317,Nguyễn Phương Thảo c ơi cẩn thận nè,0
318,Chi nay dep sang,0
319,tình hình tham nhũng đang ổn định :3,0
320,Khánh Vân trêu tí thôi đừng cáu nhé 😁😁,0
321,thầy chơi bẩn vl,1
322,"Nhật cũng đéo phải thằng vừa gì đâu, với mấy thằng Đức nữa, thử khủng hoảng chính trị quân phiệt nhật nó lên xem nó có san bằng cái châu á ko :))",1
323,Cười ra nước mắc :))),0
324,"Tạm dừng dùng Facebook làm gì anh ơi , mặc kệ miệng lưỡi thiên hạ họ nói gì thì nói , đâu phải ai cũng là người trong cuộc đâu . Vì vậy anh hãy tiếp tục sử dụng Facebook đi , để còn biết trên Facebook anh đang bị cđm chửi sml chứ",1
325,Chiếc khăn gió ấm chứ🤣🤣🙄,0
326,Chị em rụng trứng chưa,0
327,Tao cháu ông tổng thống mỹ nè .đụ má xạo lồn.,1
328,thế đấy dkm,1
329,Nhìn cái cách ông viện kiểm sát cười,0
330,Lê Nhật Trâm sao thế ạ ;-;,0
331,Nhớ lại cảm giác hồi xưa vẫn thấy hồi hộp. Cho dù kết quả ra sao đi chăng nữa thì các em vẫn sẽ trưởng thành trên con đường của mình,0
332,Thế là nghĩ học dài dài:))))),0
333,Rô nói vậy chắc người việt không có ý thức bằng bọn nhật,1
334,"Kệ mẹ mấy thằng bị nhồi sọ chửi ad, càng đông càng khai sáng đuoc, tạo cơ duyên đến với dân chủ, văn minh,..",1
335,Hà Linh hoa 1 cánh à 😂😂,0
336,Bớt bớt đi,0
337,"Fan cứng abe, dù nghèo toàn xem chùa thôi 🤣",0
338,Khá khó🙂,0
339,Phúc Báo làm kiểu ta đây giàu đi chơi du lịch qua mấy vùng dịch chơi ấy mà,1
340,Xàm lồn quá thằng bóng ơi,1
341,Ĩ khùng 😑,1
342,Công nghệ Đức của nhà máy nước Sông Đuống đây :)) hoá ra là Đức Chung :)),1
343,vu e bi xe qua c oi.nhung e k co tien huhu,0
344,Tủnn Tủnn trẩu,1
345,"cũng đúng vì giáo trình của vn mức độ khó hơn nước ngoài nhưng tiếc là khi làm thực tế thì chẳng được bao nhiu. 12 năm đèn sách, 5 năm đại học ra trường ko có tiền ko có quan hệ thì cũng thất nghiệp.",1
346,Công cụ khủng bố và đàn áp của trung cộng đã đến lúc thành thú dữ . Đó là hiện tượng thế thời Tập & Trung Cộng đã đến thời khủng hoảng chính trị .,1
347,sale 99% thì e mua :>,0
348,Nói chz xàm lol,1
349,Đù nhìn giống ba tam kê đội tóc giả vl,1
350,đúng là CHÁY NHÀ mới ra MẶT CHUỘT.,0
351,Chào các bạn mình là sói.hôm nay như mình đã hứa mình sẽ đưa ông già đi mua cua hoàng đế để chúc mừng Refund Gaming đạt top 1 =)),0
352,Con này là con bóng dơ cái miệng nó mai mốt ko có cức mà ăn nữa... Kkkk,1
353,"Chưa ra đã thấy chán hơn , ngáo đét =))",1
354,Anh châu cho em xin nich fb cua anh để em đt gặp cô kim nc 😂❤️,0
355,ib giá,0
356,Con chó này bêde ah mọi người,1
